Country,GHG_Emission_Per_Capita,Total GHG Emissions (tonnes?),GDP per capita (current $US),GDP per capita growth (% change),GINI_Index
Kiribati,0.968812515,110024.9933,2069.767201,2.88966133,
"Korea, Dem. People's Rep.",3.254692714,63999328.47,32394.68337,,
"Korea, Rep.",12.9338431,680832958,5290.947472,2.805237629,
Kuwait,36.03360871,167995876.9,39981.7691,1.437112771,
Kyrgyz Republic,3.071415669,11572593.5,1739.720183,7.030428696,26.4
Lao PDR,5.30162229,70341543.67,2046.404403,1.269700523,
Latvia,5.897414205,10348954.47,20227.23074,2.083419787,
Lebanon,4.172207484,29396355.19,3654.358455,-1.077821926,33.7
Lesotho,1.160355363,10513078.87,1030.125796,1.28745564,35.3
Liberia,0.849441702,-15192783.84,744.6171752,2.585058276,
Libya,12.32026612,104513880.3,5986.636949,-9.377305226,
Lithuania,7.346840469,15256424.89,25085.78406,1.6952855,36.6
Luxembourg,12.44244782,8129183.686,123719.6589,-3.069660269,34.1
"Macao SAR, China",4.466410749,2414118.188,36909.95641,-18.99214221,
Madagascar,1.093879637,69322096.42,503.5145335,1.6026818,
Malawi,0.90426107,20310358.23,604.2697512,-1.637493994,
Malaysia,9.101715315,112231478.8,11748.09193,7.565683341,
Maldives,5.698274776,2424252.568,11786.00915,12.09906281,
Mali,1.943175987,-105651787,969.7222056,0.439682902,
Malta,3.977119747,2175875.781,36224.282,1.724392731,34.6
Marshall Islands,0.067370312,2380.489579,6322.828555,2.06474741,
Mauritania,3.37157996,15779924.6,1960.352401,3.712730841,
Mauritius,4.73234943,6129769.384,10223.78823,9.021163173,
Mexico,5.345831872,638712667.6,11402.14104,2.932857652,43.5
"Micronesia, Fed. Sts.",0.434379293,-515998.5899,3710.124485,-3.33022071,
Moldova,5.123160385,14817347.38,5744.296184,-2.066404261,25.9
Mongolia,19.47699715,38156007.08,4993.514875,3.503077669,31.4
Morocco,2.851694862,113020703.3,3455.39624,0.496491364,
Mozambique,1.054383287,79028497.15,578.2516638,1.333359974,49.6
Myanmar,2.201351803,218291932.2,1158.05005,3.322028415,
Namibia,4.422074277,-103726162.6,4349.799085,2.513088065,
Nauru,0.101686298,1164.304582,12896.4341,2.148913509,
Nepal,1.879454167,40472645.12,1385.910663,4.776657252,30
Netherlands,9.104924235,171286766.9,59123.31856,4.01097881,
New Caledonia,21.86345225,5687909.565,33516.36309,2.811857632,
New Zealand,16.2961443,59053257.2,48760.03819,3.37907842,
Nicaragua,3.003511992,33349740.2,2322.89054,2.22853832,
Niger,1.61651168,8669138.759,609.7451477,8.319863726,
Nigeria,1.703611802,723087741.3,2139.374785,1.113267394,33.9
North Macedonia,6.006020597,7683801.469,7606.237525,3.061935884,
Northern Mariana Islands,0.062936759,3726.214675,23785.75459,18.92356377,
Norway,10.4900619,49156336.11,109269.5206,2.322823544,26.9
Oman,26.47706473,137243725.8,23223.58294,2.739587647,
Pakistan,2.199633701,574389306.9,1538.322813,2.962502872,
Palau,82.3357171,1319060.484,14392.20114,-1.185066181,
Panama,4.193649616,-3032038.674,17332.43607,9.376025512,
Papua New Guinea,0.931690929,-3740767.397,3102.289686,3.73630442,
Paraguay,6.154444429,59014020.05,6205.625954,-0.954302474,44.6
Peru,2.754285097,181029562.2,7350.630343,1.82762015,40.3
Philippines,2.145634365,160154073.6,3548.069306,6.765954106, 
Poland,10.78768963,377299385.5,18891.21353,5.712275974,28.9
Portugal,5.387752661,52400961.32,24620.51956,6.242470714,36.3
Puerto Rico,4.619741334,15264586,35353.68216,4.3183096,
Qatar,54.36462047,194652113.7,88701.46335,-1.790978898,
Romania,5.825066979,84099163.99,15557.88262,4.3667763,32.3
Russian Federation,18.17508141,1974196723,15619.61426,-1.097171763,33.9
Rwanda,0.547563078,1941766.409,975.469324,5.817732742,
Samoa,2.953159188,-208575.9042,3869.466395,-5.95822542,
Sao Tome and Principe,1.293829124,-117634.2578,2389.737298,-1.754073105,
Saudi Arabia,24.4584218,801535206.9,38510.22762,7.159129057,
Senegal,1.631263497,18614531.08,1574.028106,1.31913435,
Seychelles,10.8593737,374540.7589,16836.67219,-6.676656925,
Sierra Leone,0.836868614,7123096.813,860.7745909,2.99519003,
Singapore,12.74555962,70230306.67,90299.06946,0.719821623,
Slovak Republic,8.374204124,36663367.02,21334.6011,0.723874225,24.1
Slovenia,8.126980279,13473799.83,28373.83823,2.504885485,24.3
Solomon Islands,0.898131528,16816159.41,2005.413993,-0.019702918,
Somalia,1.817918618,70312159.88,573.1280925,-0.333977531,
South Africa,8.54505429,503193705.5,6523.410978,0.480619707,
Spain,6.380229549,292713316.9,30270.2687,5.418773892,33.6
Sri Lanka,1.698453631,43097484.8,3342.636503,-7.453618881,
St. Kitts and Nevis,3.54321437,16296.5766,20985.01122,10.46997026,
St. Lucia,2.416364155,451175.9944,13103.82431,20.21403647,
St. Vincent and the Grenadines,1.427787468,98967.74074,9693.558678,3.914128696,
Sudan,2.788968573,157098571.5,1046.240845,-3.598008466,
Suriname,5.870685726,18761186.71,6084.438767,1.540517695,39.2
Sweden,4.780230956,19130613.42,55296.93715,0.771118404,31.6
Switzerland,4.963229262,43796187.49,94394.51068,2.192409289,33.8
Syrian Arab Republic,1.790036075,46268805.09,1051.671496,-3.004348297,26.6
Tajikistan,2.081736187,20935212.44,1052.179495,5.71622455,39.5
Tanzania,1.353459053,166007912.9,1207.853027,1.542997924,
Thailand,6.168401347,447668906.7,6909.352818,2.568943164,34.3
Timor-Leste,1.471852304,1561682.992,2343.245234,-21.65318262,
Togo,1.152662486,11817168.77,898.7581544,3.300370299,
Tonga,3.182536509,-1712869.108,4933.074669,-1.893219858,
Trinidad and Tobago,25.48138277,43718504.6,20874.37683,1.211960579,
Tunisia,3.501520793,53712073,3708.848124,2.074255953,
Turkiye,7.046888834,629920131.1,10674.50416,4.499458772,44.5
Turkmenistan,13.80557891,128052652.7,8156.35212,4.170796844,
Turks and Caicos Islands,2.29676969,100741.663,31280.5418,12.58411073,
Tuvalu,0.400320256,5882.253307,5911.327271,2.712619258,
